SerialNumber,Product_Code,OpcoID,State
185127,TC101674,FXAU,VIC
425393,TC101686,FXAU,VIC
250426,TC101686,FXAU,VIC
106567,TC101673,FXAU,VIC
270480,TC101688,FXAU,VIC
400605,TC101673,FXAU,VIC
230613,TC101686,FXAU,VIC
361728,TC101310,FXAU,VIC
425003,TC101687,FXAU,VIC
625087,TC101570,FXAU,VIC
176296,TC101674,FXAU,VIC
105152,TC101672,FXAU,VIC
137256,TC101672,FXAU,VIC
420366,TC101675,FXAU,VIC
560423,TC101547,FXAU,VIC
624930,TC101571,FXAU,VIC
425462,TC101687,FXAU,VIC
564670,TC101163,FXAU,VIC
250087,TC101686,FXAU,VIC
235934,TC101686,FXAU,VIC
401138,TC101673,FXAU,VIC
401066,TC101672,FXAU,VIC
130586,TC101672,FXAU,VIC
132977,TC101888,FXAU,VIC
302596,TC101678,FXAU,VIC
136591,TC101888,FXAU,VIC
400285,TC101673,FXAU,VIC
176279,TC101674,FXAU,VIC
140717,TC101673,FXAU,VIC
270392,TC101688,FXAU,VIC
304315,TC101679,FXAU,VIC
118991,TC101673,FXAU,VIC
231226,TC101686,FXAU,VIC
170717,TC101674,FXAU,VIC
132253,TC101672,FXAU,VIC
132969,TC101672,FXAU,VIC
172119,TC101675,FXAU,VIC
176536,TC101674,FXAU,VIC
136503,TC101672,FXAU,VIC
139450,TC101672,FXAU,VIC
140972,TC101888,FXAU,VIC
524409,TC101167,FXAU,VIC
402729,TC101672,FXAU,VIC
137352,TC101888,FXAU,VIC
140749,TC101673,FXAU,VIC
131642,TC101672,FXAU,VIC
122959,TC101672,FXAU,VIC
565472,TC101168,FXAU,VIC
175778,TC101674,FXAU,VIC
237454,TC101686,FXAU,VIC
751477,TC101545,FXAU,VIC
514346,TC101544,FXAU,VIC
521171,TC101160,FXAU,VIC
520403,TC101165,FXAU,VIC
176048,TC101674,FXAU,VIC
302397,TC101679,FXAU,VIC
516014,TC101545,FXAU,VIC
300881,TC101678,FXAU,VIC
174448,TC101674,FXAU,VIC
564630,TC101546,FXAU,VIC
565979,TC101546,FXAU,VIC
400305,TC101672,FXAU,VIC
400514,TC101672,FXAU,VIC
250086,TC101686,FXAU,VIC
305074,TC101678,FXAU,VIC
114383,TC101888,FXAU,VIC
140884,TC101672,FXAU,VIC
301835,TC101679,FXAU,VIC
234001,TC101687,FXAU,VIC
233768,TC101686,FXAU,VIC
201814,TC101676,FXAU,VIC
400984,TC101672,FXAU,VIC
139246,TC101673,FXAU,VIC
620066,TC101571,FXAU,VIC
174371,TC101675,FXAU,VIC
280051,TC101688,FXAU,VIC
133519,TC101888,FXAU,VIC
131556,TC101672,FXAU,VIC
138146,TC101888,FXAU,VIC
136999,TC101673,FXAU,VIC
231638,TC101687,FXAU,VIC
520724,TC101166,FXAU,VIC
425394,TC101687,FXAU,VIC
515939,TC101165,FXAU,VIC
420882,TC101674,FXAU,VIC
252383,TC101329,FXAU,VIC
270245,TC101688,FXAU,VIC
402443,TC101672,FXAU,VIC
301114,TC101678,FXAU,VIC
201098,TC101676,FXAU,VIC
425095,TC101686,FXAU,VIC
176039,TC101674,FXAU,VIC
174003,TC101675,FXAU,VIC
117950,TC101673,FXAU,VIC
402921,TC101672,FXAU,VIC
130530,TC101673,FXAU,VIC
174598,TC101675,FXAU,VIC
401412,TC101673,FXAU,VIC
270525,TC101688,FXAU,VIC
402206,TC101672,FXAU,VIC
132479,TC101888,FXAU,VIC
236380,TC101686,FXAU,VIC
620676,TC101570,FXAU,VIC
400553,TC101672,FXAU,VIC
520761,TC101545,FXAU,VIC
251365,TC101329,FXAU,VIC
175813,TC101674,FXAU,VIC
174168,TC101674,FXAU,VIC
236999,TC101686,FXAU,VIC
174581,TC101674,FXAU,VIC
111599,TC101673,FXAU,VIC
171183,TC101675,FXAU,VIC
200574,TC101676,FXAU,VIC
132932,TC101888,FXAU,VIC
170714,TC101675,FXAU,VIC
518455,TC101545,FXAU,VIC
401088,TC101673,FXAU,VIC
401529,TC101672,FXAU,VIC
234867,TC101687,FXAU,VIC
176609,TC101675,FXAU,VIC
135349,TC101673,FXAU,VIC
176844,TC101674,FXAU,VIC
175444,TC101674,FXAU,VIC
625620,TC101571,FXAU,VIC
420338,TC101674,FXAU,VIC
174172,TC101674,FXAU,VIC
521582,TC101545,FXAU,VIC
402509,TC101682,FXAU,VIC
107716,TC101673,FXAU,VIC
400473,TC101673,FXAU,VIC
175448,TC101674,FXAU,VIC
140304,TC101888,FXAU,VIC
401591,TC101672,FXAU,VIC
106601,TC101673,FXAU,VIC
520885,TC101545,FXAU,VIC
300905,TC101679,FXAU,VIC
750953,TC101544,FXAU,VIC
173339,TC101675,FXAU,VIC
420132,TC101674,FXAU,VIC
136704,TC101672,FXAU,VIC
302195,TC101679,FXAU,VIC
302497,TC101678,FXAU,VIC
420496,TC101674,FXAU,VIC
567969,TC101168,FXAU,VIC
370226,TC101316,FXAU,VIC
562546,TC101546,FXAU,VIC
215278,TC101676,FXAU,VIC
280025,TC101688,FXAU,VIC
137969,TC101673,FXAU,VIC
270141,TC101689,FXAU,VIC
305520,TC101678,FXAU,VIC
233389,TC101687,FXAU,VIC
402157,TC101672,FXAU,VIC
176455,TC101675,FXAU,VIC
118134,TC101673,FXAU,VIC
402175,TC101672,FXAU,VIC
430027,TC101678,FXAU,VIC
117025,TC101672,FXAU,VIC
133032,TC101888,FXAU,VIC
420167,TC101674,FXAU,VIC
517027,TC101545,FXAU,VIC
401104,TC101672,FXAU,VIC
751196,TC101165,FXAU,VIC
304716,TC101678,FXAU,VIC
172597,TC101674,FXAU,VIC
400783,TC101672,FXAU,VIC
236581,TC101686,FXAU,VIC
138732,TC101673,FXAU,VIC
517138,TC101545,FXAU,VIC
170980,TC101674,FXAU,VIC
176526,TC101674,FXAU,VIC
231484,TC101686,FXAU,VIC
303145,TC101678,FXAU,VIC
271226,TC101689,FXAU,VIC
760747,TC101547,FXAU,VIC
402014,TC101672,FXAU,VIC
420169,TC101675,FXAU,VIC
250392,TC101686,FXAU,VIC
174891,TC101674,FXAU,VIC
107658,TC101673,FXAU,VIC
175942,TC101674,FXAU,VIC
121802,TC101888,FXAU,VIC
136677,TC101888,FXAU,VIC
362934,TC101310,FXAU,VIC
300069,TC101678,FXAU,VIC
565611,TC101546,FXAU,VIC
305218,TC101678,FXAU,VIC
420815,TC101674,FXAU,VIC
109050,TC101673,FXAU,VIC
171917,TC101675,FXAU,VIC
430239,TC101678,FXAU,VIC
387001,TC101714,FXAU,VIC
401587,TC101673,FXAU,VIC
303992,TC101679,FXAU,VIC
420066,TC101674,FXAU,VIC
131563,TC101673,FXAU,VIC
625132,TC101570,FXAU,VIC
420553,TC101674,FXAU,VIC
205083,TC101676,FXAU,VIC
234472,TC101687,FXAU,VIC
400452,TC101325,FXAU,VIC
173818,TC101675,FXAU,VIC
177021,TC101674,FXAU,VIC
270343,TC101688,FXAU,VIC
133069,TC101673,FXAU,VIC
174233,TC101674,FXAU,VIC
128098,TC101672,FXAU,VIC
250410,TC101686,FXAU,VIC
129066,TC101888,FXAU,VIC
139502,TC101888,FXAU,VIC
170837,TC101674,FXAU,VIC
402588,TC101673,FXAU,VIC
420505,TC101674,FXAU,VIC
236843,TC101686,FXAU,VIC
651394,TC101549,FXAU,VIC
132471,TC101673,FXAU,VIC
175440,TC101674,FXAU,VIC
