SerialNumber,Product_Code,OpcoID,State
751517,TC101161,FXAU,VIC
505043,TC101162,FXAU,VIC
522481,TC101160,FXAU,VIC
522558,TC101160,FXAU,VIC
516834,TC101165,FXAU,VIC
565828,TC101168,FXAU,VIC
517663,TC101167,FXAU,VIC
518036,TC101167,FXAU,VIC
526573,TC101160,FXAU,VIC
760152,TC101169,FXAU,VIC
519597,TC101165,FXAU,VIC
505367,TC101161,FXAU,VIC
505993,TC101160,FXAU,VIC
652859,TC101182,FXAU,VIC
524373,TC101160,FXAU,VIC
508798,TC101161,FXAU,VIC
523075,TC101167,FXAU,VIC
621667,TC101180,FXAU,VIC
760447,TC101163,FXAU,VIC
561774,TC101163,FXAU,VIC
523490,TC101161,FXAU,VIC
564969,TC101164,FXAU,VIC
513010,TC101161,FXAU,VIC
628622,TC101181,FXAU,VIC
503982,TC101161,FXAU,VIC
501273,TC101160,FXAU,VIC
652790,TC101183,FXAU,VIC
751634,TC101162,FXAU,VIC
565475,TC101163,FXAU,VIC
520402,TC101160,FXAU,VIC
652821,TC101183,FXAU,VIC
567191,TC101168,FXAU,VIC
751568,TC101160,FXAU,VIC
751678,TC101160,FXAU,VIC
650353,TC101183,FXAU,VIC
504951,TC101160,FXAU,VIC
562520,TC101168,FXAU,VIC
652582,TC101182,FXAU,VIC
503037,TC101166,FXAU,VIC
566024,TC101164,FXAU,VIC
568399,TC101163,FXAU,VIC
521261,TC101167,FXAU,VIC
750670,TC101160,FXAU,VIC
500619,TC101165,FXAU,VIC
565106,TC101169,FXAU,VIC
500604,TC101165,FXAU,VIC
506217,TC101160,FXAU,VIC
626619,TC101181,FXAU,VIC
750274,TC101165,FXAU,VIC
652615,TC101183,FXAU,VIC
750105,TC101160,FXAU,VIC
790463,TC101180,FXAU,VIC
626618,TC101180,FXAU,VIC
626477,TC101180,FXAU,VIC
760524,TC101163,FXAU,VIC
751521,TC101160,FXAU,VIC
521115,TC101160,FXAU,VIC
650892,TC101182,FXAU,VIC
651796,TC101182,FXAU,VIC
651708,TC101182,FXAU,VIC
750031,TC101165,FXAU,VIC
750778,TC101165,FXAU,VIC
651818,TC101182,FXAU,VIC
500685,TC101160,FXAU,VIC
751104,TC101166,FXAU,VIC
503963,TC101161,FXAU,VIC
565435,TC101169,FXAU,VIC
501367,TC101162,FXAU,VIC
628756,TC101181,FXAU,VIC
567381,TC101164,FXAU,VIC
515336,TC101165,FXAU,VIC
513813,TC101165,FXAU,VIC
520992,TC101165,FXAU,VIC
623381,TC101181,FXAU,VIC
505002,TC101162,FXAU,VIC
750387,TC101165,FXAU,VIC
751099,TC101165,FXAU,VIC
790348,TC101181,FXAU,VIC
500733,TC101167,FXAU,VIC
